Disease,Prevalence,Prior_Weight,Typical_Min_Duration_Days,Typical_Max_Duration_Days,Duration_Category,Onset_Type,Progression_Type,Urgency_Level,Typical_Min_Age,Typical_Max_Age,Primary_Age_Group,Gender_Predisposition,Primary_Organ_System,Secondary_Organ_System,Typical_Severity_Level,Case_Fatality_Risk,Hospitalization_Likelihood,Chronicity_Type
noninfectious gastroenteritis,Common,0.75,1,5,Acute,Sudden,Self-limiting,Low,60,95,Elderly,Both,Gastrointestinal,None,Moderate to Severe,Very Low,Sometimes,Chronic Progressive
normal pressure hydrocephalus,Common,0.75,365,3650,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Neurological,None,Mild,Very Low,Rare,Chronic
nose disorder,Common,0.75,30,10950,Chronic,Gradual,Chronic Stable,Low,2,90,All Ages,Both,ENT,None,Moderate,Low,Rare,Chronic
obesity,Very Common,1,365,18250,Chronic,Insidious,Progressive,Moderate,10,45,Young Adult,Both,Endocrine,Cardiovascular,Moderate,Very Low,Rare,Chronic
obsessive compulsive disorder (ocd),Common,0.75,365,18250,Chronic,Gradual,Relapsing,Moderate,30,85,Middle Aged,Slightly Male,Psychiatric,Neurological,Moderate,Low,Rare,Chronic
obstructive sleep apnea (osa),Very Common,1,365,14600,Chronic,Insidious,Progressive,High,0,0,Infant,Both,Respiratory,Neurological,Moderate,Low,Often,Acute
omphalitis,Common,0.75,3,10,Acute,Sudden,Progressive,High,20,90,Middle Aged,Both,Infectious Disease,Dermatological,Mild,Very Low,Rare,Chronic
onychomycosis,Very Common,1,90,730,Chronic,Gradual,Relapsing,Low,0,90,All Ages,Slightly Male,Dermatological,Infectious Disease,Moderate,Low,Sometimes,Acute
open wound due to trauma,Common,0.75,1,30,Chronic,Sudden,Self-limiting,High,0,90,All Ages,Both,Dermatological,Musculoskeletal,Moderate,Low,Sometimes,Acute
open wound from surgical incision,Common,0.75,14,30,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Slightly Male,Dermatological,None,Severe,Moderate,Almost Always,Acute
open wound of the abdomen,Common,0.75,1,60,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Slightly Male,Dermatological,Gastrointestinal,Mild to Moderate,Low,Sometimes,Acute
open wound of the arm,Common,0.75,7,30,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Slightly Male,Dermatological,Musculoskeletal,Moderate,Low,Sometimes,Acute
open wound of the back,Common,0.75,7,30,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,Musculoskeletal,Mild to Moderate,Very Low,Sometimes,Acute
open wound of the cheek,Common,0.75,3,14,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Slightly Male,Dermatological,ENT,Severe,Moderate,Almost Always,Acute
open wound of the chest,Common,0.75,1,60,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Both,Dermatological,Respiratory,Mild to Moderate,Very Low,Sometimes,Acute
open wound of the ear,Common,0.75,3,14,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,ENT,Severe,Very Low,Often,Acute
open wound of the eye,Common,0.75,1,14,Subacute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Dermatological,Ophthalmological,Moderate,Low,Often,Acute
open wound of the face,Common,0.75,3,14,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,ENT,Mild,Very Low,Rare,Acute
open wound of the finger,Common,0.75,3,14,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,Musculoskeletal,Mild to Moderate,Low,Sometimes,Acute
open wound of the foot,Common,0.75,7,42,Chronic,Sudden,Progressive,Moderate,0,90,All Ages,Both,Dermatological,Musculoskeletal,Mild to Moderate,Low,Sometimes,Acute
open wound of the hand,Common,0.75,5,21,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Slightly Male,Dermatological,Musculoskeletal,Moderate to Severe,Low,Often,Acute
open wound of the head,Common,0.75,1,21,Subacute,Sudden,Progressive,High,0,90,All Ages,Both,Dermatological,Neurological,Moderate to Severe,Low,Often,Acute
open wound of the jaw,Common,0.75,7,30,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,ENT,Moderate,Low,Often,Acute
open wound of the knee,Common,0.75,7,30,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,Musculoskeletal,Mild to Moderate,Very Low,Sometimes,Acute
open wound of the lip,Common,0.75,3,10,Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,ENT,Moderate,Very Low,Sometimes,Acute
open wound of the mouth,Common,0.75,3,10,Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,ENT,Gastrointestinal,Severe,Low,Often,Acute
open wound of the neck,Common,0.75,1,30,Chronic,Sudden,Progressive,High,0,90,All Ages,Both,Dermatological,Cardiovascular,Mild to Moderate,Very Low,Sometimes,Acute
open wound of the nose,Common,0.75,3,10,Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,ENT,Dermatological,Moderate,Low,Often,Acute
open wound of the shoulder,Common,0.75,7,30,Chronic,Sudden,Self-limiting,Moderate,3,18,Child,Slightly Male,Dermatological,Musculoskeletal,Moderate,Very Low,Rare,Chronic
oppositional disorder,Common,0.75,365,3650,Chronic,Gradual,Chronic Stable,Moderate,20,50,Young Adult,Slightly Female,Psychiatric,None,Mild to Moderate,Very Low,Rare,Chronic
optic neuritis,Common,0.75,14,90,Chronic,Sudden,Relapsing,High,40,80,Middle Aged,Slightly Male,Ophthalmological,Neurological,Moderate,Very Low,Sometimes,Acute
oral leukoplakia,Common,0.75,365,7300,Chronic,Insidious,Progressive,Moderate,5,90,All Ages,Both,ENT,Gastrointestinal,Mild to Moderate,Very Low,Rare,Chronic
oral mucosal lesion,Common,0.75,7,30,Chronic,Gradual,Relapsing,Low,0,90,All Ages,Both,ENT,Dermatological,Mild,Very Low,Rare,Acute
oral thrush (yeast infection),Common,0.75,7,14,Subacute,Sudden,Self-limiting,Low,1,15,Child,Both,ENT,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
orbital cellulitis,Common,0.75,3,10,Acute,Sudden,Progressive,Emergency,60,95,Elderly,Both,Ophthalmological,Infectious Disease,Moderate to Severe,Low,Almost Always,Acute
orthostatic hypotension,Common,0.75,1,3650,Chronic,Sudden,Relapsing,Moderate,45,95,Elderly,Slightly Female,Cardiovascular,Neurological,Mild to Moderate,Very Low,Sometimes,Chronic
osteoarthritis,Very Common,1,1095,18250,Chronic,Insidious,Progressive,Moderate,10,30,Adolescent,Both,Musculoskeletal,None,Moderate,Very Low,Rare,Chronic Progressive
osteochondroma,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,5,20,Child,Both,Musculoskeletal,None,Mild,Very Low,Rare,Chronic
osteochondrosis,Common,0.75,365,3650,Chronic,Insidious,Self-limiting,Low,0,90,All Ages,Both,Musculoskeletal,None,Mild,Very Low,Rare,Chronic
osteomyelitis,Rare,0.35,21,180,Chronic,Gradual,Progressive,High,50,95,Elderly,Female,Musculoskeletal,Infectious Disease,Moderate to Severe,Low,Often,Chronic
osteoporosis,Very Common,1,3650,18250,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Musculoskeletal,Endocrine,Moderate,Very Low,Rare,Chronic Progressive
otitis externa (swimmer's ear),Common,0.75,5,14,Subacute,Sudden,Self-limiting,Moderate,0,12,Child,Both,ENT,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
otitis media,Very Common,1,7,21,Subacute,Sudden,Self-limiting,Moderate,15,45,Young Adult,Slightly Female,ENT,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
otosclerosis,Common,0.75,1825,10950,Chronic,Insidious,Progressive,Low,45,80,Middle Aged,Female,ENT,None,Moderate,Very Low,Rare,Chronic Progressive
ovarian cancer,Common,0.75,180,1825,Chronic,Insidious,Progressive,High,13,55,Young Adult,Female,Reproductive,None,Severe,Moderate,Often,Chronic Progressive
ovarian cyst,Common,0.75,30,90,Chronic,Gradual,Self-limiting,Moderate,15,45,Young Adult,Female,Reproductive,None,Mild to Moderate,Very Low,Sometimes,Chronic
ovarian torsion,Rare,0.35,0,1,Very Acute,Sudden,Progressive,Emergency,50,95,Elderly,Slightly Male,Reproductive,None,Severe,Low,Almost Always,Acute
overflow incontinence,Common,0.75,90,7300,Chronic,Gradual,Chronic Stable,Moderate,0,95,All Ages,Both,Genitourinary,Neurological,Moderate,Very Low,Rare,Chronic
pain after an operation,Common,0.75,1,14,Subacute,Sudden,Self-limiting,Moderate,20,90,Middle Aged,Both,Multisystem,None,Moderate,Very Low,Almost Always,Acute
pain disorder affecting the neck,Common,0.75,30,3650,Chronic,Gradual,Relapsing,Low,55,90,Elderly,Slightly Male,Musculoskeletal,Neurological,Mild to Moderate,Very Low,Rare,Chronic
pancreatic cancer,Common,0.75,90,730,Chronic,Insidious,Progressive,High,18,50,Young Adult,Slightly Female,Gastrointestinal,Endocrine,Severe,High,Often,Chronic Progressive
panic attack,Common,0.75,0,1,Very Acute,Sudden,Self-limiting,Moderate,18,50,Young Adult,Slightly Female,Psychiatric,Cardiovascular,Moderate,Very Low,Sometimes,Acute
panic disorder,Common,0.75,180,7300,Chronic,Sudden,Relapsing,Moderate,0,90,All Ages,Both,Psychiatric,None,Moderate,Very Low,Rare,Chronic
parasitic disease,Common,0.75,7,60,Chronic,Gradual,Progressive,Moderate,30,70,Middle Aged,Slightly Female,Infectious Disease,Gastrointestinal,Mild to Moderate,Low,Sometimes,Acute
parathyroid adenoma,Common,0.75,365,3650,Chronic,Insidious,Progressive,Moderate,55,95,Elderly,Slightly Male,Endocrine,Multisystem,Moderate,Very Low,Sometimes,Chronic
parkinson disease,Common,0.75,1825,7300,Chronic,Insidious,Progressive,Moderate,5,80,All Ages,Both,Neurological,Musculoskeletal,Severe,Low,Sometimes,Chronic Progressive
paronychia,Common,0.75,3,14,Subacute,Sudden,Self-limiting,Low,15,70,Young Adult,Both,Dermatological,Infectious Disease,Mild,Very Low,Rare,Acute
paroxysmal supraventricular tachycardia,Common,0.75,0,1,Very Acute,Sudden,Relapsing,High,40,95,Middle Aged,Slightly Male,Cardiovascular,None,Moderate,Low,Often,Relapsing-Remitting
paroxysmal ventricular tachycardia,Common,0.75,0,1,Very Acute,Sudden,Progressive,Emergency,18,70,Young Adult,Both,Cardiovascular,None,Severe,Moderate,Almost Always,Acute
pelvic fistula,Common,0.75,60,3650,Chronic,Gradual,Progressive,High,15,45,Young Adult,Female,Genitourinary,Reproductive,Moderate,Very Low,Often,Chronic
pelvic inflammatory disease,Common,0.75,7,28,Chronic,Gradual,Progressive,High,40,95,Middle Aged,Female,Reproductive,Infectious Disease,Moderate to Severe,Low,Often,Acute
pelvic organ prolapse,Common,0.75,365,7300,Chronic,Gradual,Progressive,Moderate,40,60,Middle Aged,Both,Reproductive,Genitourinary,Moderate,Very Low,Sometimes,Chronic
pemphigus,Rare,0.35,60,3650,Chronic,Gradual,Relapsing,High,20,70,Young Adult,Slightly Male,Dermatological,Autoimmune,Severe,Moderate,Often,Chronic
pericarditis,Common,0.75,7,42,Chronic,Sudden,Self-limiting,High,50,95,Elderly,Slightly Male,Cardiovascular,Infectious Disease,Moderate to Severe,Low,Often,Acute
peripheral arterial disease,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,40,95,Middle Aged,Both,Cardiovascular,None,Moderate,Low,Sometimes,Chronic Progressive
peripheral arterial embolism,Common,0.75,0,1,Very Acute,Sudden,Progressive,Emergency,20,90,Middle Aged,Both,Cardiovascular,Hematological,Severe,Moderate,Almost Always,Acute
peripheral nerve disorder,Common,0.75,90,7300,Chronic,Insidious,Progressive,Moderate,20,60,Young Adult,Slightly Male,Neurological,None,Mild to Moderate,Very Low,Rare,Chronic
perirectal infection,Common,0.75,3,14,Subacute,Sudden,Progressive,High,0,95,All Ages,Both,Gastrointestinal,Infectious Disease,Moderate,Low,Often,Acute
peritonitis,Common,0.75,1,7,Acute,Sudden,Progressive,Emergency,15,40,Young Adult,Both,Gastrointestinal,Infectious Disease,Severe,Moderate,Almost Always,Acute
peritonsillar abscess,Common,0.75,3,10,Acute,Sudden,Progressive,High,0,90,All Ages,Both,ENT,Infectious Disease,Moderate to Severe,Low,Often,Acute
persistent vomiting of unknown cause,Common,0.75,1,14,Subacute,Sudden,Progressive,High,18,60,Young Adult,Both,Gastrointestinal,Endocrine,Moderate,Low,Sometimes,Acute
personality disorder,Common,0.75,3650,25550,Chronic,Insidious,Chronic Stable,Low,40,70,Middle Aged,Male,Psychiatric,None,Moderate,Very Low,Rare,Chronic
peyronie disease,Common,0.75,180,3650,Chronic,Gradual,Progressive,Low,0,90,All Ages,Both,Reproductive,Genitourinary,Mild to Moderate,Very Low,Rare,Chronic
pharyngitis,Very Common,1,3,10,Acute,Sudden,Self-limiting,Low,0,18,Child,Male,ENT,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
phimosis,Common,0.75,365,18250,Chronic,Gradual,Progressive,Low,15,35,Young Adult,Slightly Male,Reproductive,Genitourinary,Mild to Moderate,Very Low,Rare,Chronic
pilonidal cyst,Common,0.75,30,3650,Chronic,Gradual,Relapsing,Moderate,30,90,Middle Aged,Both,Dermatological,Gastrointestinal,Mild to Moderate,Very Low,Sometimes,Chronic
pinguecula,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,2,12,Child,Both,Ophthalmological,None,Mild,Very Low,Rare,Chronic
pinworm infection,Common,0.75,7,28,Chronic,Gradual,Self-limiting,Low,20,60,Young Adult,Both,Infectious Disease,Gastrointestinal,Mild,Very Low,Rare,Acute Self-Limiting
pituitary adenoma,Common,0.75,365,7300,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Endocrine,Neurological,Moderate,Very Low,Sometimes,Chronic
pituitary disorder,Common,0.75,180,7300,Chronic,Insidious,Progressive,Moderate,10,35,Young Adult,Both,Endocrine,None,Moderate,Very Low,Rare,Chronic
pityriasis rosea,Common,0.75,28,84,Chronic,Sudden,Self-limiting,Low,18,45,Young Adult,Female,Dermatological,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
placenta previa,Common,0.75,30,280,Chronic,Sudden,Progressive,Emergency,18,45,Young Adult,Female,Reproductive,None,Severe,Moderate,Almost Always,Acute
placental abruption,Common,0.75,0,1,Very Acute,Sudden,Progressive,Emergency,30,70,Middle Aged,Both,Reproductive,None,Severe,Moderate,Almost Always,Acute
plantar fasciitis,Very Common,1,30,365,Chronic,Gradual,Self-limiting,Low,0,95,All Ages,Both,Musculoskeletal,None,Mild to Moderate,Very Low,Rare,Chronic
pleural effusion,Common,0.75,7,60,Chronic,Gradual,Progressive,High,30,80,Middle Aged,Male,Respiratory,Cardiovascular,Moderate to Severe,Low,Often,Subacute
pneumoconiosis,Common,0.75,3650,14600,Chronic,Insidious,Progressive,Moderate,0,95,All Ages,Both,Respiratory,None,Moderate to Severe,Low,Sometimes,Chronic Progressive
pneumonia,Very Common,1,7,21,Subacute,Sudden,Progressive,High,15,40,Young Adult,Slightly Male,Respiratory,Infectious Disease,Moderate to Severe,Moderate,Often,Acute
pneumothorax,Common,0.75,1,14,Subacute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Respiratory,Musculoskeletal,Severe,Low,Almost Always,Acute
poisoning due to analgesics,Common,0.75,1,7,Acute,Sudden,Self-limiting,Emergency,0,90,All Ages,Both,Multisystem,Gastrointestinal,Moderate to Severe,Low,Often,Acute
poisoning due to anticonvulsants,Common,0.75,1,7,Acute,Sudden,Self-limiting,Emergency,15,60,Young Adult,Both,Neurological,Multisystem,Moderate to Severe,Low,Often,Acute
poisoning due to antidepressants,Common,0.75,1,7,Acute,Sudden,Self-limiting,Emergency,40,95,Middle Aged,Both,Psychiatric,Neurological,Moderate to Severe,Low,Often,Acute
poisoning due to antihypertensives,Common,0.75,1,7,Acute,Sudden,Self-limiting,Emergency,0,90,All Ages,Both,Cardiovascular,Multisystem,Moderate to Severe,Low,Often,Acute
poisoning due to antimicrobial drugs,Common,0.75,1,7,Acute,Sudden,Self-limiting,Emergency,18,60,Young Adult,Both,Multisystem,Gastrointestinal,Moderate to Severe,Low,Often,Acute
poisoning due to antipsychotics,Common,0.75,1,7,Acute,Sudden,Self-limiting,Emergency,18,60,Young Adult,Both,Psychiatric,Neurological,Moderate to Severe,Low,Often,Acute
poisoning due to ethylene glycol,Common,0.75,1,5,Acute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Multisystem,Genitourinary,Severe,High,Almost Always,Acute
poisoning due to gas,Common,0.75,0,2,Very Acute,Sudden,Progressive,Emergency,18,60,Young Adult,Slightly Male,Respiratory,Multisystem,Severe,High,Almost Always,Acute
poisoning due to opioids,Common,0.75,0,2,Very Acute,Sudden,Progressive,Emergency,15,70,Young Adult,Both,Psychiatric,Respiratory,Severe,High,Almost Always,Acute
poisoning due to sedatives,Common,0.75,0,3,Very Acute,Sudden,Progressive,Emergency,30,60,Middle Aged,Both,Psychiatric,Neurological,Severe,High,Almost Always,Acute
polycystic kidney disease,Common,0.75,3650,18250,Chronic,Insidious,Progressive,Moderate,15,45,Young Adult,Female,Genitourinary,None,Moderate,Low,Sometimes,Chronic Progressive
polycystic ovarian syndrome (pcos),Common,0.75,365,10950,Chronic,Gradual,Chronic Stable,Moderate,50,80,Elderly,Slightly Male,Reproductive,Endocrine,Mild to Moderate,Very Low,Rare,Chronic
polycythemia vera,Rare,0.35,365,7300,Chronic,Insidious,Progressive,Moderate,60,95,Elderly,Female,Hematological,Cardiovascular,Moderate,Low,Sometimes,Chronic Progressive
polymyalgia rheumatica,Common,0.75,365,1095,Chronic,Gradual,Self-limiting,Moderate,13,80,Young Adult,Both,Autoimmune,Musculoskeletal,Moderate,Very Low,Rare,Chronic
post-traumatic stress disorder (ptsd),Common,0.75,30,18250,Chronic,Sudden,Relapsing,Moderate,0,95,All Ages,Both,Psychiatric,None,Moderate,Low,Rare,Chronic
postoperative infection,Common,0.75,3,21,Subacute,Sudden,Progressive,High,18,45,Young Adult,Female,Infectious Disease,Multisystem,Moderate to Severe,Low,Often,Acute
postpartum depression,Common,0.75,30,365,Chronic,Gradual,Self-limiting,Moderate,18,45,Young Adult,Female,Psychiatric,Reproductive,Moderate,Low,Sometimes,Subacute
preeclampsia,Common,0.75,1,90,Chronic,Sudden,Progressive,Emergency,15,49,Young Adult,Female,Cardiovascular,Reproductive,Severe,Moderate,Almost Always,Acute
pregnancy,Very Common,1,280,280,Chronic,Gradual,Self-limiting,Moderate,0,90,All Ages,Both,Reproductive,Endocrine,Mild,Very Low,Sometimes,Acute
premature atrial contractions (pacs),Common,0.75,1,10950,Chronic,Sudden,Chronic Stable,Low,15,40,Young Adult,Female,Cardiovascular,None,Mild,Very Low,Rare,Chronic
premature ovarian failure,Common,0.75,365,10950,Chronic,Gradual,Progressive,Moderate,18,45,Young Adult,Female,Reproductive,Endocrine,Moderate,Very Low,Rare,Chronic
premature rupture of amniotic membrane,Common,0.75,1,7,Acute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Reproductive,Infectious Disease,Moderate to Severe,Low,Almost Always,Acute
premature ventricular contractions (pvcs),Common,0.75,1,10950,Chronic,Sudden,Chronic Stable,Moderate,13,50,Adolescent,Female,Cardiovascular,None,Mild,Very Low,Rare,Chronic
premenstrual tension syndrome,Very Common,1,2,7,Acute,Sudden,Relapsing,Low,60,95,Elderly,Both,Reproductive,Endocrine,Mild,Very Low,Rare,Relapsing-Remitting
presbyacusis,Common,0.75,1825,10950,Chronic,Insidious,Progressive,Low,40,90,Middle Aged,Both,ENT,None,Mild to Moderate,Very Low,Rare,Chronic Progressive
presbyopia,Very Common,1,3650,10950,Chronic,Insidious,Progressive,Low,5,60,Young Adult,Male,Ophthalmological,None,Mild,Very Low,Rare,Chronic Progressive
priapism,Common,0.75,0,1,Very Acute,Sudden,Progressive,Emergency,0,30,Infant,Both,Reproductive,Hematological,Moderate to Severe,Very Low,Almost Always,Acute
primary immunodeficiency,Rare,0.35,3650,25550,Chronic,Insidious,Chronic Stable,Moderate,18,80,Young Adult,Slightly Female,Autoimmune,Infectious Disease,Severe,Moderate,Often,Chronic
primary insomnia,Common,0.75,30,7300,Chronic,Gradual,Chronic Stable,Low,0,90,All Ages,Both,Psychiatric,Neurological,Mild,Very Low,Rare,Chronic
primary kidney disease,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,50,80,Elderly,Both,Genitourinary,None,Moderate,Low,Sometimes,Chronic
primary thrombocythemia,Common,0.75,365,7300,Chronic,Insidious,Progressive,Moderate,15,49,Young Adult,Female,Hematological,Cardiovascular,Moderate,Low,Sometimes,Chronic Progressive
problem during pregnancy,Common,0.75,1,280,Chronic,Sudden,Progressive,High,55,95,Elderly,Male,Reproductive,Multisystem,Moderate,Low,Often,Acute
prostate cancer,Common,0.75,365,5475,Chronic,Insidious,Progressive,High,20,70,Young Adult,Male,Genitourinary,Reproductive,Moderate to Severe,Moderate,Often,Chronic Progressive
prostatitis,Common,0.75,7,90,Chronic,Sudden,Relapsing,Moderate,0,90,All Ages,Both,Genitourinary,Reproductive,Mild to Moderate,Very Low,Rare,Chronic
protein deficiency,Common,0.75,30,365,Chronic,Gradual,Progressive,Moderate,5,40,Young Adult,Both,Endocrine,Multisystem,Moderate,Moderate,Sometimes,Chronic
pseudohypoparathyroidism,Very Rare,0.15,3650,25550,Chronic,Insidious,Chronic Stable,Moderate,20,45,Young Adult,Female,Endocrine,Musculoskeletal,Moderate,Very Low,Rare,Chronic
pseudotumor cerebri,Common,0.75,90,1095,Chronic,Gradual,Progressive,Moderate,15,60,Young Adult,Both,Neurological,Ophthalmological,Moderate,Very Low,Often,Chronic
psoriasis,Very Common,1,365,25550,Chronic,Gradual,Relapsing,Low,18,60,Young Adult,Both,Dermatological,Autoimmune,Mild to Moderate,Very Low,Rare,Relapsing-Remitting
psychosexual disorder,Common,0.75,365,18250,Chronic,Insidious,Chronic Stable,Low,16,60,Young Adult,Both,Psychiatric,Reproductive,Mild,Very Low,Rare,Chronic
psychotic disorder,Common,0.75,30,18250,Chronic,Sudden,Relapsing,High,25,70,Young Adult,Slightly Male,Psychiatric,None,Severe,Low,Often,Chronic
pterygium,Common,0.75,365,10950,Chronic,Insidious,Progressive,Low,40,95,Elderly,Both,Ophthalmological,None,Mild,Very Low,Rare,Chronic
pulmonary congestion,Common,0.75,1,14,Subacute,Sudden,Progressive,Emergency,30,95,Middle Aged,Both,Cardiovascular,Respiratory,Moderate to Severe,Low,Often,Acute
pulmonary embolism,Common,0.75,1,7,Acute,Sudden,Progressive,Emergency,20,60,Young Adult,Both,Cardiovascular,Respiratory,Severe,High,Almost Always,Acute
pulmonary eosinophilia,Common,0.75,14,90,Chronic,Gradual,Self-limiting,Moderate,50,80,Elderly,Both,Respiratory,Autoimmune,Moderate,Low,Sometimes,Acute
pulmonary fibrosis,Common,0.75,365,3650,Chronic,Insidious,Progressive,High,20,75,Young Adult,Slightly Female,Respiratory,Autoimmune,Severe,Moderate,Sometimes,Chronic Progressive
pulmonary hypertension,Common,0.75,365,3650,Chronic,Insidious,Progressive,High,0,90,All Ages,Both,Cardiovascular,Respiratory,Severe,Moderate,Often,Chronic Progressive
pulmonic valve disease,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,5,85,Young Adult,Female,Cardiovascular,None,Moderate,Low,Sometimes,Chronic Progressive
pyelonephritis,Common,0.75,7,14,Subacute,Sudden,Progressive,High,0,1,Infant,Male,Genitourinary,Infectious Disease,Moderate to Severe,Low,Often,Acute
pyloric stenosis,Common,0.75,14,60,Chronic,Gradual,Progressive,High,0,90,All Ages,Both,Gastrointestinal,None,Moderate,Low,Almost Always,Acute
pyogenic skin infection,Common,0.75,5,14,Subacute,Sudden,Progressive,Moderate,15,40,Young Adult,Female,Dermatological,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute
raynaud disease,Common,0.75,365,18250,Chronic,Sudden,Relapsing,Low,20,40,Young Adult,Slightly Male,Cardiovascular,Dermatological,Mild to Moderate,Very Low,Rare,Chronic
reactive arthritis,Common,0.75,30,180,Chronic,Gradual,Self-limiting,Moderate,0,95,All Ages,Both,Musculoskeletal,Infectious Disease,Moderate,Very Low,Rare,Subacute
rectal disorder,Common,0.75,30,3650,Chronic,Gradual,Relapsing,Moderate,30,90,Middle Aged,Slightly Female,Gastrointestinal,None,Mild,Very Low,Rare,Chronic
restless leg syndrome,Common,0.75,365,18250,Chronic,Gradual,Chronic Stable,Low,40,85,Middle Aged,Both,Neurological,Psychiatric,Mild,Very Low,Rare,Chronic
retinal detachment,Common,0.75,0,7,Acute,Sudden,Progressive,Emergency,40,95,Middle Aged,Both,Ophthalmological,None,Severe,Very Low,Almost Always,Acute
retinopathy due to high blood pressure,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,15,80,Young Adult,Slightly Male,Ophthalmological,Cardiovascular,Moderate,Low,Rare,Chronic Progressive
rhabdomyolysis,Rare,0.35,1,14,Subacute,Sudden,Progressive,Emergency,5,15,Child,Both,Musculoskeletal,Genitourinary,Severe,Moderate,Almost Always,Acute
rheumatic fever,Common,0.75,14,90,Chronic,Sudden,Progressive,High,30,60,Middle Aged,Female,Cardiovascular,Autoimmune,Moderate to Severe,Low,Often,Acute
rheumatoid arthritis,Common,0.75,365,18250,Chronic,Gradual,Progressive,Moderate,0,80,All Ages,Both,Musculoskeletal,Autoimmune,Moderate,Very Low,Rare,Chronic Progressive
rocky mountain spotted fever,Common,0.75,7,14,Subacute,Sudden,Progressive,High,30,60,Middle Aged,Slightly Female,Infectious Disease,Multisystem,Severe,Moderate,Often,Acute
rosacea,Common,0.75,365,10950,Chronic,Gradual,Relapsing,Low,40,85,Middle Aged,Slightly Male,Dermatological,None,Mild,Very Low,Rare,Chronic
rotator cuff injury,Common,0.75,30,365,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Musculoskeletal,None,Moderate,Very Low,Rare,Chronic
salivary gland disorder,Common,0.75,7,90,Chronic,Gradual,Relapsing,Moderate,20,50,Young Adult,Both,ENT,Gastrointestinal,Mild,Very Low,Rare,Chronic
sarcoidosis,Rare,0.35,180,1825,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Multisystem,Respiratory,Moderate,Low,Sometimes,Chronic
scabies,Common,0.75,14,42,Chronic,Gradual,Progressive,Low,0,90,All Ages,Both,Dermatological,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
scar,Common,0.75,365,25550,Chronic,Sudden,Chronic Stable,Low,5,15,Child,Both,Dermatological,None,Mild,Very Low,Rare,Chronic
scarlet fever,Common,0.75,7,14,Subacute,Sudden,Self-limiting,Moderate,16,35,Young Adult,Slightly Male,Infectious Disease,Dermatological,Moderate,Low,Sometimes,Acute Self-Limiting
schizophrenia,Common,0.75,365,25550,Chronic,Gradual,Progressive,High,30,70,Middle Aged,Both,Psychiatric,None,Severe,Low,Often,Chronic
sciatica,Common,0.75,14,90,Chronic,Sudden,Relapsing,Moderate,30,60,Middle Aged,Slightly Female,Neurological,Musculoskeletal,Moderate,Very Low,Rare,Chronic
scleritis,Rare,0.35,7,30,Chronic,Sudden,Progressive,High,30,55,Middle Aged,Female,Ophthalmological,Autoimmune,Moderate,Very Low,Rare,Chronic
scleroderma,Rare,0.35,365,7300,Chronic,Insidious,Progressive,Moderate,10,18,Adolescent,Slightly Female,Autoimmune,Dermatological,Severe,Low,Sometimes,Chronic Progressive
scoliosis,Common,0.75,3650,18250,Chronic,Insidious,Progressive,Low,0,90,All Ages,Both,Musculoskeletal,None,Mild to Moderate,Very Low,Rare,Chronic Progressive
